book_id,year_group,pop_group,author_group
726,Old,4,Author
727,Old,3,Author
728,Old,4,Author
729,Old,4,Author
730,Old,3,Author
731,Old,4,Author
732,New,3,Author
733,Old,3,Author
734,Old,4,Author
735,Old,4,Author
736,Old,3,Author
737,New,4,Author
738,Old,4,Author
739,Old,4,TopAuthor
740,Old,4,Author
741,Old,3,Author
742,New,4,Author
743,New,4,Author
744,Old,4,Author
745,New,3,Author
746,New,4,Author
747,Old,4,Author
748,New,4,TopAuthor
749,New,4,TopAuthor
750,New,4,TopAuthor
751,Old,4,Author
752,New,4,Author
753,New,4,Author
754,New,4,Author
755,Old,4,TopAuthor
756,New,3,Author
757,Old,4,Author
758,New,4,Author
759,New,4,TopAuthor
760,Old,4,TopAuthor
761,New,3,Author
762,Old,4,Author
763,Old,3,Author
764,New,3,Author
765,Old,4,Author
766,Old,4,Author
767,Old,4,Author
768,New,4,Author
769,Old,4,Author
770,Old,3,Author
771,New,3,Author
772,Old,3,Author
773,Old,3,Author
774,New,4,Author
775,New,4,Author
776,Old,3,Author
777,New,3,Author
778,Old,3,Author
779,Old,4,Author
780,Old,4,Author
781,New,3,Author
782,Old,3,Author
783,New,3,Author
784,New,4,Author
785,Old,4,Author
786,Old,4,Author
787,New,3,Author
788,Old,4,Author
789,Old,4,TopAuthor
790,Old,4,Author
791,New,4,TopAuthor
792,Old,4,Author
793,Old,4,Author
794,New,4,TopAuthor
795,Old,3,Author
796,New,4,Author
797,New,4,Author
798,Old,4,TopAuthor
799,Old,4,TopAuthor
800,Old,4,Author
801,New,3,Author
802,New,3,Author
803,Old,4,Author
804,Old,3,Author
805,New,3,Author
806,Old,4,Author
807,New,3,Author
808,New,4,Author
809,Old,4,Author
810,New,4,Author
811,New,3,Author
812,New,4,TopAuthor
813,New,3,Author
814,New,3,Author
815,New,4,Author
816,New,3,Author
817,Old,4,Author
818,New,3,Author
819,Old,3,Author
820,Old,4,Author
821,New,3,TopAuthor
822,New,3,Author
823,Old,3,TopAuthor
824,Old,3,Author
825,New,3,Author
826,Old,3,Author
827,New,4,Author
828,New,4,Author
829,Old,3,Author
830,New,3,Author
831,New,4,Author
832,Old,4,TopAuthor
833,Old,3,TopAuthor
834,New,4,Author
835,Old,4,Author
836,New,3,Author
837,New,3,Author
838,Old,3,TopAuthor
839,Old,3,Author
840,Old,4,Author
841,New,4,TopAuthor
842,New,4,Author
843,New,4,Author
844,Old,4,Author
845,New,4,Author
846,Old,4,Author
847,Old,3,Author
848,New,3,Author
849,Old,3,Author
850,New,3,Author
851,Old,3,Author
852,New,4,Author
853,Old,3,Author
854,Old,4,Author
855,Old,3,Author
856,New,3,Author
857,Old,4,Author
858,New,4,Author
859,New,4,Author
860,Old,3,Author
861,New,4,Author
862,New,4,TopAuthor
863,Old,4,Author
864,New,4,Author
865,Old,3,Author
866,Old,3,Author
867,New,3,Author
868,Old,4,Author
869,New,3,Author
870,New,4,Author
871,New,3,TopAuthor
872,Old,3,Author
873,Old,3,Author
874,New,4,Author
875,New,3,Author
876,Old,4,Author
877,Old,4,Author
878,Old,4,Author
879,Old,3,Author
880,New,4,Author
881,Old,4,Author
882,Old,4,TopAuthor
883,New,3,Author
884,New,4,Author
885,Old,3,Author
886,New,3,Author
887,Old,3,Author
888,Old,4,Author
889,New,4,TopAuthor
890,Old,4,TopAuthor
891,New,4,TopAuthor
892,New,3,Author
893,New,4,Author
894,Old,4,TopAuthor
895,New,3,Author
896,New,4,Author
897,Old,4,Author
898,Old,3,TopAuthor
899,Old,3,Author
900,Old,4,Author
901,New,4,Author
902,Old,4,TopAuthor
903,Old,3,Author
904,New,4,Author
905,Old,4,Author
906,New,3,Author
907,New,4,TopAuthor
908,New,3,TopAuthor
909,New,4,TopAuthor
910,New,4,Author
911,Old,3,TopAuthor
912,Old,4,TopAuthor
913,Old,4,Author
914,Old,4,Author
915,Old,3,Author
916,New,3,Author
917,New,4,Author
918,New,3,Author
919,Old,3,Author
920,New,3,Author
921,New,4,Author
922,Old,3,Author
923,New,3,Author
924,New,3,Author
925,Old,3,Author
926,New,3,Author
927,New,4,Author
928,New,4,Author
929,Old,3,Author
930,New,3,Author
931,New,3,Author
932,New,4,Author
933,New,4,Author
934,Old,3,Author
935,Old,3,Author
936,New,4,Author
937,New,4,Author
938,New,4,Author
939,New,3,Author
940,New,3,Author
941,Old,3,Author
942,New,4,Author
943,Old,3,Author
944,Old,3,TopAuthor
945,New,3,Author
946,New,3,Author
947,New,4,Author
948,New,3,Author
949,Old,4,Author
950,New,4,Author
951,Old,3,Author
952,New,3,Author
953,New,4,TopAuthor
954,New,4,Author
955,New,3,Author
956,Old,4,Author
957,New,3,Author
958,Old,4,Author
959,Old,3,Author
960,New,4,Author
961,Old,3,Author
962,New,4,Author
963,Old,3,TopAuthor
964,Old,4,Author
965,New,4,Author
966,Old,4,Author
967,Old,3,TopAuthor
968,New,3,Author
969,New,3,Author
970,New,4,TopAuthor
971,Old,4,Author
972,Old,3,Author
973,New,3,Author
974,Old,3,Author
975,Old,4,Author
976,Old,4,Author
977,Old,3,Author
978,New,4,Author
979,New,3,TopAuthor
980,New,4,Author
981,New,3,Author
982,Old,4,Author
983,New,4,Author
984,Old,3,Author
985,New,4,Author
986,Old,3,TopAuthor
987,New,4,Author
988,New,4,Author
989,Old,4,Author
990,New,3,Author
991,New,3,Author
992,New,3,Author
993,New,4,Author
994,Old,4,Author
995,New,4,Author
996,Old,4,TopAuthor
997,Old,4,Author
998,Old,4,Author
999,Old,4,Author
1000,New,4,Author
1001,New,3,Author
1002,New,4,Author
1003,Old,4,Author
1004,New,4,Author
1005,Old,3,Author
1006,New,3,Author
1007,New,3,Author
1008,New,4,Author
1009,New,3,Author
1010,Old,4,Author
1011,New,4,Author
1012,New,4,Author
1013,Old,4,Author
1014,Old,4,Author
1015,Old,4,Author
1016,New,4,Author
1017,New,3,Author
1018,Old,4,TopAuthor
1019,Old,4,Author
1020,New,4,Author
1021,New,4,Author
1022,New,4,Author
1023,Old,4,Author
1024,New,3,Author
1025,New,3,Author
1026,New,4,Author
1027,New,4,TopAuthor
1028,New,3,Author
1029,New,4,Author
1030,New,3,Author
1031,Old,4,Author
1032,New,4,Author
1033,New,3,Author
1034,New,4,TopAuthor
1035,New,4,Author
1036,New,4,Author
1037,Old,3,TopAuthor
1038,Old,3,Author
1039,New,3,Author
1040,New,3,Author
1041,Old,4,Author
1042,Old,3,Author
1043,New,4,Author
1044,New,3,Author
1045,New,4,Author
1046,New,3,Author
1047,New,4,Author
1048,Old,4,Author
1049,New,4,TopAuthor
1050,New,3,Author
1051,Old,3,Author
1052,New,3,TopAuthor
1053,New,3,Author
1054,New,3,Author
1055,Old,3,Author
1056,New,3,Author
1057,Old,3,TopAuthor
1058,Old,4,TopAuthor
1059,Old,3,Author
1060,New,4,Author
1061,Old,3,Author
1062,New,3,Author
1063,New,3,Author
1064,Old,3,Author
1065,New,4,Author
1066,New,3,Author
1067,Old,4,TopAuthor
1068,Old,4,Author
1069,New,3,Author
1070,New,4,Author
1071,Old,4,Author
1072,New,3,Author
1073,Old,3,Author
1074,Old,4,TopAuthor
1075,Old,3,Author
1076,New,3,Author
1077,New,3,Author
1078,New,3,Author
1079,Old,3,Author
1080,New,4,Author
1081,New,4,TopAuthor
1082,New,3,Author
1083,Old,3,Author
1084,Old,3,Author
1085,New,3,Author
1086,Old,4,TopAuthor
1087,New,4,Author
1088,Old,3,Author
1089,Old,4,TopAuthor
1090,New,4,Author
1091,Old,4,TopAuthor
1092,New,3,TopAuthor
1093,New,4,Author
1094,Old,3,Author
1095,New,3,Author
1096,New,4,Author
1097,New,3,Author
1098,New,4,TopAuthor
1099,Old,4,Author
1100,Old,4,TopAuthor
1101,New,3,TopAuthor
1102,New,4,Author
1103,New,4,TopAuthor
1104,New,3,Author
1105,Old,3,Author
1106,Old,4,TopAuthor
1107,New,3,Author
1108,Old,4,Author
1109,New,4,Author
1110,New,4,Author
1111,Old,3,Author
1112,Old,4,Author
1113,Old,4,Author
1114,Old,4,Author
1115,New,3,Author
1116,New,4,Author
1117,Old,3,Author
1118,New,3,Author
1119,Old,4,Author
1120,Old,4,Author
1121,Old,4,Author
1122,New,4,Author
1123,Old,3,TopAuthor
1124,New,3,Author
1125,New,3,Author
1126,New,4,Author
1127,New,4,TopAuthor
1128,Old,4,Author
1129,New,3,Author
1130,New,4,Author
1131,Old,3,Author
1132,Old,3,Author
1133,Old,3,Author
1134,New,4,Author
1135,Old,3,Author
1136,New,3,Author
1137,New,4,Author
1138,New,4,TopAuthor
1139,Old,3,TopAuthor
1140,New,3,Author
1141,New,3,Author
1142,Old,4,Author
1143,New,4,Author
1144,New,3,Author
1145,Old,3,Author
1146,Old,3,Author
1147,New,3,Author
1148,New,3,Author
1149,New,3,TopAuthor
1150,Old,4,TopAuthor
1151,New,4,TopAuthor
1152,New,3,Author
1153,New,4,Author
1154,New,4,Author
1155,New,3,Author
1156,New,3,Author
1157,Old,3,Author
1158,Old,4,Author
1159,Old,4,Author
1160,Old,4,Author
1161,Old,4,Author
1162,New,3,Author
1163,New,3,Author
1164,New,3,Author
1165,New,4,Author
1166,New,4,Author
1167,Old,4,Author
1168,Old,4,Author
1169,New,4,TopAuthor
1170,New,4,Author
1171,New,3,Author
1172,New,4,Author
1173,New,3,Author
1174,New,3,Author
1175,New,4,Author
1176,New,4,Author
1177,New,3,Author
1178,Old,3,Author
1179,Old,4,Author
1180,New,4,Author
1181,Old,4,TopAuthor
1182,New,3,TopAuthor
1183,New,4,Author
1184,Old,3,Author
1185,Old,3,Author
1186,Old,3,Author
1187,New,3,Author
1188,New,3,Author
1189,Old,3,Author
1190,New,3,Author
1191,Old,3,Author
1192,New,4,Author
1193,Old,3,Author
1194,New,4,Author
1195,New,3,Author
1196,Old,4,Author
1197,New,4,Author
1198,New,4,Author
1199,New,4,Author
1200,New,4,TopAuthor
1201,New,3,TopAuthor
1202,Old,3,Author
1203,New,4,Author
1204,Old,3,Author
1205,Old,4,Author
1206,Old,3,Author
1207,Old,3,Author
1208,Old,3,TopAuthor
1209,New,3,Author
1210,Old,4,Author
1211,Old,4,Author
1212,New,3,Author
1213,Old,3,TopAuthor
1214,Old,3,Author
1215,Old,3,Author
1216,New,4,Author
1217,Old,4,TopAuthor
1218,Old,4,Author
1219,New,4,Author
1220,New,3,Author
1221,Old,3,Author
1222,Old,3,Author
1223,Old,4,TopAuthor
1224,Old,4,Author
1225,New,3,Author
1226,New,4,TopAuthor
1227,New,4,Author
1228,New,4,TopAuthor
1229,Old,4,Author
1230,New,4,Author
1231,New,3,Author
1232,New,4,Author
1233,New,3,Author
1234,Old,3,Author
1235,Old,4,Author
1236,New,3,Author
1237,Old,4,Author
1238,New,4,Author
1239,Old,3,Author
1240,Old,4,Author
1241,New,4,Author
1242,New,3,Author
1243,New,4,Author
1244,New,3,Author
1245,New,3,TopAuthor
1246,Old,4,TopAuthor
1247,Old,3,Author
1248,Old,4,Author
1249,Old,3,Author
1250,Old,3,Author
1251,New,4,Author
1252,New,3,Author
1253,Old,4,Author
1254,New,4,Author
1255,Old,3,Author
1256,New,4,Author
1257,New,4,Author
1258,Old,3,Author
1259,New,4,Author
1260,New,3,Author
1261,Old,3,TopAuthor
1262,Old,3,Author
1263,New,4,Author
1264,New,4,Author
1265,Old,4,Author
1266,Old,4,Author
1267,New,4,TopAuthor
1268,New,3,Author
1269,Old,4,Author
1270,Old,3,Author
1271,New,3,Author
1272,New,3,Author
1273,New,4,Author
1274,Old,4,Author
1275,New,4,Author
1276,New,4,Author
1277,Old,4,Author
1278,New,4,Author
1279,New,3,TopAuthor
1280,Old,3,Author
1281,New,3,Author
1282,New,3,Author
1283,Old,3,Author
1284,New,4,Author
1285,New,4,Author
1286,New,3,Author
1287,Old,4,Author
1288,Old,4,Author
1289,New,4,Author
1290,New,3,Author
1291,New,4,TopAuthor
1292,New,4,Author
1293,New,4,Author
1294,New,3,Author
1295,New,4,TopAuthor
1296,New,3,Author
1297,New,3,Author
1298,New,4,Author
1299,Old,4,Author
1300,New,4,Author
1301,New,3,TopAuthor
1302,New,3,Author
1303,Old,4,Author
1304,New,4,TopAuthor
1305,Old,4,Author
1306,New,3,Author
1307,New,3,Author
1308,New,4,Author
1309,New,3,Author
1310,New,4,Author
1311,Old,3,Author
1312,Old,3,Author
1313,Old,4,Author
1314,Old,3,Author
1315,New,4,Author
1316,New,3,Author
1317,New,3,Author
1318,Old,4,Author
1319,Old,3,Author
1320,Old,4,Author
1321,Old,4,Author
1322,Old,4,Author
1323,New,3,Author
1324,New,3,Author
1325,New,4,Author
1326,New,4,Author
1327,Old,3,Author
1328,New,4,Author
1329,Old,4,Author
1330,Old,3,Author
1331,New,4,Author
1332,Old,3,Author
1333,New,3,Author
1334,New,3,Author
1335,New,4,Author
1336,New,4,TopAuthor
1337,New,4,TopAuthor
1338,Old,4,Author
1339,Old,3,TopAuthor
1340,New,4,TopAuthor
1341,New,4,Author
1342,New,4,TopAuthor
1343,Old,3,TopAuthor
1344,New,3,Author
1345,New,3,Author
1346,New,4,Author
1347,New,3,TopAuthor
1348,Old,4,TopAuthor
1349,New,4,Author
