
===== GREEDY START =====

Step 1:
1: ΔU=7.000, ΔPen=-1, ΔMM=0.000, Score=117.000
170: ΔU=1.000, ΔPen=-2, ΔMM=0.000, Score=221.000
171: ΔU=0.000, ΔPen=-2, ΔMM=0.000, Score=220.000
172: ΔU=4.000, ΔPen=-1, ΔMM=0.000, Score=114.000
173: ΔU=5.000, ΔPen=-1, ΔMM=0.000, Score=115.000
174: ΔU=10.000, ΔPen=-1, ΔMM=0.000, Score=120.000
175: ΔU=2.000, ΔPen=-1, ΔMM=0.000, Score=112.000
176: ΔU=1.000, ΔPen=-1, ΔMM=0.000, Score=111.000
177: ΔU=1.000, ΔPen=-1, ΔMM=0.000, Score=111.000
178: ΔU=3.000, ΔPen=-1, ΔMM=0.000, Score=113.000
179: ΔU=4.000, ΔPen=-1, ΔMM=0.000, Score=114.000
180: ΔU=1.000, ΔPen=-1, ΔMM=0.000, Score=111.000
181: ΔU=15.000, ΔPen=-1, ΔMM=0.000, Score=125.000
182: ΔU=3.000, ΔPen=-1, ΔMM=0.000, Score=113.000
183: ΔU=4.000, ΔPen=-1, ΔMM=0.000, Score=114.000
184: ΔU=0.000, ΔPen=-1, ΔMM=0.000, Score=110.000
185: ΔU=3.000, ΔPen=-2, ΔMM=0.000, Score=223.000
186: ΔU=2.000, ΔPen=-1, ΔMM=0.000, Score=112.000
187: ΔU=2.000, ΔPen=-1, ΔMM=0.000, Score=112.000
188: ΔU=1.000, ΔPen=-1, ΔMM=0.000, Score=111.000
189: ΔU=0.000, ΔPen=-1, ΔMM=0.000, Score=110.000
190: ΔU=1.000, ΔPen=-1, ΔMM=0.000, Score=111.000
191: ΔU=4.000, ΔPen=-1, ΔMM=0.000, Score=114.000
192: ΔU=4.000, ΔPen=-1, ΔMM=0.000, Score=114.000
193: ΔU=1.000, ΔPen=-1, ΔMM=0.000, Score=111.000
194: ΔU=1.000, ΔPen=-2, ΔMM=0.000, Score=221.000
195: ΔU=3.000, ΔPen=-1, ΔMM=0.000, Score=113.000
196: ΔU=2.000, ΔPen=-1, ΔMM=0.000, Score=112.000
197: ΔU=3.000, ΔPen=-1, ΔMM=0.000, Score=113.000
198: ΔU=2.000, ΔPen=-1, ΔMM=0.000, Score=112.000
199: ΔU=0.000, ΔPen=-1, ΔMM=0.000, Score=110.000
200: ΔU=3.000, ΔPen=-2, ΔMM=0.000, Score=223.000
201: ΔU=1.000, ΔPen=-1, ΔMM=0.000, Score=111.000
202: ΔU=5.000, ΔPen=-2, ΔMM=0.000, Score=225.000
203: ΔU=1.000, ΔPen=-1, ΔMM=0.000, Score=111.000
204: ΔU=4.000, ΔPen=-2, ΔMM=0.000, Score=224.000
205: ΔU=3.000, ΔPen=-1, ΔMM=0.000, Score=113.000
206: ΔU=2.000, ΔPen=-1, ΔMM=0.000, Score=112.000
207: ΔU=1.000, ΔPen=-1, ΔMM=0.000, Score=111.000
208: ΔU=1.000, ΔPen=-2, ΔMM=0.000, Score=221.000
209: ΔU=2.000, ΔPen=-2, ΔMM=0.000, Score=222.000
210: ΔU=5.000, ΔPen=-1, ΔMM=0.000, Score=115.000
211: ΔU=2.000, ΔPen=-2, ΔMM=0.000, Score=222.000
212: ΔU=0.000, ΔPen=-1, ΔMM=0.000, Score=110.000
213: ΔU=1.000, ΔPen=-1, ΔMM=0.000, Score=111.000
214: ΔU=0.000, ΔPen=-1, ΔMM=0.000, Score=110.000
215: ΔU=1.000, ΔPen=-1, ΔMM=0.000, Score=111.000
216: ΔU=2.000, ΔPen=-2, ΔMM=0.000, Score=222.000
217: ΔU=0.000, ΔPen=-2, ΔMM=0.000, Score=220.000
218: ΔU=2.000, ΔPen=-1, ΔMM=0.000, Score=112.000
219: ΔU=0.000, ΔPen=-2, ΔMM=0.000, Score=220.000
220: ΔU=0.000, ΔPen=-2, ΔMM=0.000, Score=220.000
221: ΔU=1.000, ΔPen=-1, ΔMM=0.000, Score=111.000
222: ΔU=5.000, ΔPen=-1, ΔMM=0.000, Score=115.000
223: ΔU=1.000, ΔPen=-1, ΔMM=0.000, Score=111.000
224: ΔU=1.000, ΔPen=-1, ΔMM=0.000, Score=111.000
225: ΔU=0.000, ΔPen=-1, ΔMM=0.000, Score=110.000
226: ΔU=0.000, ΔPen=-1, ΔMM=0.000, Score=110.000
227: ΔU=0.000, ΔPen=-1, ΔMM=0.000, Score=110.000
228: ΔU=2.000, ΔPen=-1, ΔMM=0.000, Score=112.000
229: ΔU=1.000, ΔPen=-1, ΔMM=0.000, Score=111.000
230: ΔU=1.000, ΔPen=-1, ΔMM=0.000, Score=111.000
231: ΔU=0.000, ΔPen=-1, ΔMM=0.000, Score=110.000
232: ΔU=0.000, ΔPen=-1, ΔMM=0.000, Score=110.000
233: ΔU=0.000, ΔPen=-1, ΔMM=0.000, Score=110.000
234: ΔU=4.000, ΔPen=-1, ΔMM=0.000, Score=114.000
235: ΔU=0.000, ΔPen=-1, ΔMM=0.000, Score=110.000
236: ΔU=2.000, ΔPen=-2, ΔMM=0.000, Score=222.000
237: ΔU=8.000, ΔPen=-1, ΔMM=0.000, Score=118.000
238: ΔU=0.000, ΔPen=-2, ΔMM=0.000, Score=220.000
239: ΔU=1.000, ΔPen=-1, ΔMM=0.000, Score=111.000
240: ΔU=0.000, ΔPen=-1, ΔMM=0.000, Score=110.000
241: ΔU=1.000, ΔPen=-1, ΔMM=0.000, Score=111.000
242: ΔU=5.000, ΔPen=-2, ΔMM=0.000, Score=225.000
243: ΔU=0.000, ΔPen=-1, ΔMM=0.000, Score=110.000
244: ΔU=0.000, ΔPen=-1, ΔMM=0.000, Score=110.000
245: ΔU=0.000, ΔPen=-1, ΔMM=0.000, Score=110.000
246: ΔU=1.000, ΔPen=-1, ΔMM=0.000, Score=111.000
247: ΔU=0.000, ΔPen=-1, ΔMM=0.000, Score=110.000
248: ΔU=0.000, ΔPen=-2, ΔMM=0.000, Score=220.000
249: ΔU=2.000, ΔPen=-2, ΔMM=0.000, Score=222.000
250: ΔU=2.000, ΔPen=-1, ΔMM=0.000, Score=112.000
251: ΔU=2.000, ΔPen=-2, ΔMM=0.000, Score=222.000
252: ΔU=0.000, ΔPen=-1, ΔMM=0.000, Score=110.000
253: ΔU=1.000, ΔPen=-1, ΔMM=0.000, Score=111.000
254: ΔU=0.000, ΔPen=-1, ΔMM=0.000, Score=110.000
255: ΔU=0.000, ΔPen=-2, ΔMM=0.000, Score=220.000
256: ΔU=1.000, ΔPen=-2, ΔMM=0.000, Score=221.000
257: ΔU=3.000, ΔPen=-1, ΔMM=0.000, Score=113.000
258: ΔU=15.000, ΔPen=-1, ΔMM=0.000, Score=125.000
259: ΔU=0.000, ΔPen=-1, ΔMM=0.000, Score=110.000
260: ΔU=0.000, ΔPen=-1, ΔMM=0.000, Score=110.000
261: ΔU=0.000, ΔPen=-1, ΔMM=0.000, Score=110.000
262: ΔU=0.000, ΔPen=-1, ΔMM=0.000, Score=110.000
263: ΔU=0.000, ΔPen=-1, ΔMM=0.000, Score=110.000
264: ΔU=0.000, ΔPen=-1, ΔMM=0.000, Score=110.000
265: ΔU=2.000, ΔPen=-1, ΔMM=0.000, Score=112.000
266: ΔU=0.000, ΔPen=-1, ΔMM=0.000, Score=110.000
267: ΔU=0.000, ΔPen=-1, ΔMM=0.000, Score=110.000
268: ΔU=6.000, ΔPen=-1, ΔMM=0.000, Score=116.000
269: ΔU=17.000, ΔPen=-2, ΔMM=0.000, Score=237.000
270: ΔU=2.000, ΔPen=-1, ΔMM=0.000, Score=112.000
271: ΔU=4.000, ΔPen=-1, ΔMM=0.000, Score=114.000
272: ΔU=10.000, ΔPen=-1, ΔMM=0.000, Score=120.000
273: ΔU=4.000, ΔPen=-1, ΔMM=0.000, Score=114.000
274: ΔU=1.000, ΔPen=-2, ΔMM=0.000, Score=221.000
275: ΔU=4.000, ΔPen=-1, ΔMM=0.000, Score=114.000
276: ΔU=4.000, ΔPen=-1, ΔMM=0.000, Score=114.000
277: ΔU=0.000, ΔPen=-1, ΔMM=0.000, Score=110.000
278: ΔU=0.000, ΔPen=-1, ΔMM=0.000, Score=110.000
279: ΔU=0.000, ΔPen=-1, ΔMM=0.000, Score=110.000
280: ΔU=2.000, ΔPen=-1, ΔMM=0.000, Score=112.000
281: ΔU=2.000, ΔPen=-1, ΔMM=0.000, Score=112.000
282: ΔU=2.000, ΔPen=-1, ΔMM=0.000, Score=112.000
283: ΔU=2.000, ΔPen=-1, ΔMM=0.000, Score=112.000
284: ΔU=0.000, ΔPen=-2, ΔMM=0.000, Score=220.000
285: ΔU=4.000, ΔPen=-1, ΔMM=0.000, Score=114.000
286: ΔU=11.000, ΔPen=-1, ΔMM=0.000, Score=121.000
287: ΔU=3.000, ΔPen=-1, ΔMM=0.000, Score=113.000
288: ΔU=8.000, ΔPen=-2, ΔMM=0.000, Score=228.000
289: ΔU=2.000, ΔPen=-1, ΔMM=0.000, Score=112.000
290: ΔU=0.000, ΔPen=-2, ΔMM=0.000, Score=220.000
291: ΔU=0.000, ΔPen=-1, ΔMM=0.000, Score=110.000
292: ΔU=4.000, ΔPen=-1, ΔMM=0.000, Score=114.000
293: ΔU=0.000, ΔPen=-1, ΔMM=0.000, Score=110.000
294: ΔU=6.000, ΔPen=-2, ΔMM=0.000, Score=226.000
295: ΔU=1.000, ΔPen=-1, ΔMM=0.000, Score=111.000
296: ΔU=0.000, ΔPen=-1, ΔMM=0.000, Score=110.000
297: ΔU=0.000, ΔPen=-1, ΔMM=0.000, Score=110.000
298: ΔU=2.000, ΔPen=-1, ΔMM=0.000, Score=112.000
299: ΔU=0.000, ΔPen=-1, ΔMM=0.000, Score=110.000
300: ΔU=8.000, ΔPen=-1, ΔMM=0.000, Score=118.000
301: ΔU=6.000, ΔPen=-2, ΔMM=0.000, Score=226.000
302: ΔU=7.000, ΔPen=-1, ΔMM=0.000, Score=117.000
303: ΔU=3.000, ΔPen=-1, ΔMM=0.000, Score=113.000
304: ΔU=2.000, ΔPen=-1, ΔMM=0.000, Score=112.000
305: ΔU=1.000, ΔPen=-1, ΔMM=0.000, Score=111.000
306: ΔU=4.000, ΔPen=-1, ΔMM=0.000, Score=114.000
307: ΔU=3.000, ΔPen=-1, ΔMM=0.000, Score=113.000
308: ΔU=0.000, ΔPen=-1, ΔMM=0.000, Score=110.000
309: ΔU=1.000, ΔPen=-1, ΔMM=0.000, Score=111.000
310: ΔU=2.000, ΔPen=-1, ΔMM=0.000, Score=112.000
311: ΔU=1.000, ΔPen=-1, ΔMM=0.000, Score=111.000
312: ΔU=0.000, ΔPen=-2, ΔMM=0.000, Score=220.000
313: ΔU=27.000, ΔPen=-1, ΔMM=0.000, Score=137.000
314: ΔU=0.000, ΔPen=-1, ΔMM=0.000, Score=110.000
315: ΔU=1.000, ΔPen=-1, ΔMM=0.000, Score=111.000
316: ΔU=4.000, ΔPen=-2, ΔMM=0.000, Score=224.000
317: ΔU=0.000, ΔPen=-1, ΔMM=0.000, Score=110.000
318: ΔU=8.000, ΔPen=-1, ΔMM=0.000, Score=118.000
319: ΔU=3.000, ΔPen=-2, ΔMM=0.000, Score=223.000
320: ΔU=0.000, ΔPen=-1, ΔMM=0.000, Score=110.000
321: ΔU=2.000, ΔPen=-2, ΔMM=0.000, Score=222.000
322: ΔU=0.000, ΔPen=-1, ΔMM=0.000, Score=110.000
323: ΔU=2.000, ΔPen=-1, ΔMM=0.000, Score=112.000
324: ΔU=1.000, ΔPen=-1, ΔMM=0.000, Score=111.000
325: ΔU=1.000, ΔPen=-1, ΔMM=0.000, Score=111.000
326: ΔU=2.000, ΔPen=-1, ΔMM=0.000, Score=112.000
327: ΔU=4.000, ΔPen=-1, ΔMM=0.000, Score=114.000
328: ΔU=4.000, ΔPen=-1, ΔMM=0.000, Score=114.000
329: ΔU=0.000, ΔPen=-1, ΔMM=0.000, Score=110.000
330: ΔU=0.000, ΔPen=-1, ΔMM=0.000, Score=110.000
331: ΔU=3.000, ΔPen=-1, ΔMM=0.000, Score=113.000
332: ΔU=0.000, ΔPen=-1, ΔMM=0.000, Score=110.000
333: ΔU=2.000, ΔPen=-1, ΔMM=0.000, Score=112.000
334: ΔU=0.000, ΔPen=-1, ΔMM=0.000, Score=110.000
335: ΔU=0.000, ΔPen=-2, ΔMM=0.000, Score=220.000
336: ΔU=0.000, ΔPen=-1, ΔMM=0.000, Score=110.000
337: ΔU=0.000, ΔPen=-2, ΔMM=0.000, Score=220.000
338: ΔU=0.000, ΔPen=-2, ΔMM=0.000, Score=220.000
339: ΔU=1.000, ΔPen=-1, ΔMM=0.000, Score=111.000
340: ΔU=5.000, ΔPen=-1, ΔMM=0.000, Score=115.000
341: ΔU=0.000, ΔPen=-2, ΔMM=0.000, Score=220.000
342: ΔU=0.000, ΔPen=-2, ΔMM=0.000, Score=220.000
343: ΔU=1.000, ΔPen=-1, ΔMM=0.000, Score=111.000
344: ΔU=2.000, ΔPen=-1, ΔMM=0.000, Score=112.000
345: ΔU=1.000, ΔPen=-2, ΔMM=0.000, Score=221.000
346: ΔU=1.000, ΔPen=-1, ΔMM=0.000, Score=111.000
347: ΔU=1.000, ΔPen=-2, ΔMM=0.000, Score=221.000
348: ΔU=0.000, ΔPen=-1, ΔMM=0.000, Score=110.000
349: ΔU=0.000, ΔPen=-1, ΔMM=0.000, Score=110.000
350: ΔU=1.000, ΔPen=-1, ΔMM=0.000, Score=111.000
351: ΔU=0.000, ΔPen=-2, ΔMM=0.000, Score=220.000
352: ΔU=1.000, ΔPen=-2, ΔMM=0.000, Score=221.000
353: ΔU=0.000, ΔPen=-1, ΔMM=0.000, Score=110.000
354: ΔU=1.000, ΔPen=-2, ΔMM=0.000, Score=221.000
355: ΔU=0.000, ΔPen=-1, ΔMM=0.000, Score=110.000
356: ΔU=0.000, ΔPen=-1, ΔMM=0.000, Score=110.000
357: ΔU=2.000, ΔPen=-1, ΔMM=0.000, Score=112.000
358: ΔU=0.000, ΔPen=-1, ΔMM=0.000, Score=110.000
359: ΔU=1.000, ΔPen=-1, ΔMM=0.000, Score=111.000
360: ΔU=0.000, ΔPen=-1, ΔMM=0.000, Score=110.000
361: ΔU=0.000, ΔPen=-1, ΔMM=0.000, Score=110.000
362: ΔU=0.000, ΔPen=-1, ΔMM=0.000, Score=110.000
363: ΔU=0.000, ΔPen=-1, ΔMM=0.000, Score=110.000
364: ΔU=0.000, ΔPen=-2, ΔMM=0.000, Score=220.000
365: ΔU=0.000, ΔPen=-1, ΔMM=0.000, Score=110.000
366: ΔU=0.000, ΔPen=-1, ΔMM=0.000, Score=110.000
367: ΔU=0.000, ΔPen=-2, ΔMM=0.000, Score=220.000
368: ΔU=0.000, ΔPen=-2, ΔMM=0.000, Score=220.000
369: ΔU=0.000, ΔPen=-2, ΔMM=0.000, Score=220.000
370: ΔU=0.000, ΔPen=-1, ΔMM=0.000, Score=110.000
371: ΔU=0.000, ΔPen=-1, ΔMM=0.000, Score=110.000
372: ΔU=2.000, ΔPen=-2, ΔMM=0.000, Score=222.000
373: ΔU=0.000, ΔPen=-1, ΔMM=0.000, Score=110.000
374: ΔU=0.000, ΔPen=-1, ΔMM=0.000, Score=110.000
375: ΔU=0.000, ΔPen=-1, ΔMM=0.000, Score=110.000
376: ΔU=0.000, ΔPen=-2, ΔMM=0.000, Score=220.000
